data;hora;temperatura interna;temperatura externa;temperatura relativa;sinal de controle
3/9/2021;16:32:19;34.937500;27.700001;35.000000;-4
3/9/2021;16:32:21;34.875000;27.700001;35.000000;-3
3/9/2021;16:32:23;34.875000;27.700001;35.000000;-3
3/9/2021;16:32:25;34.812500;27.700001;35.000000;-2
3/9/2021;16:32:27;34.812500;27.690001;35.000000;-2
3/9/2021;16:32:29;34.812500;27.690001;35.000000;-3
3/9/2021;16:32:31;34.812500;27.690001;35.000000;-3
3/9/2021;16:32:33;34.750000;27.690001;35.000000;-3
3/9/2021;16:32:35;34.750000;27.690001;35.000000;-2
3/9/2021;16:32:37;34.750000;27.700001;35.000000;-2
3/9/2021;16:32:39;34.750000;27.700001;35.000000;-2
3/9/2021;16:32:41;34.687500;27.700001;35.000000;-2
3/9/2021;16:32:43;34.687500;27.700001;35.000000;-1
3/9/2021;16:32:45;34.687500;27.700001;35.000000;-1
3/9/2021;16:32:47;34.687500;27.700001;35.000000;-1
3/9/2021;16:32:49;34.625000;27.700001;35.000000;-1
3/9/2021;16:32:51;34.625000;27.700001;35.000000;0
3/9/2021;16:32:53;34.625000;27.700001;35.000000;0
3/9/2021;16:32:55;34.625000;27.700001;35.000000;0
3/9/2021;16:32:57;34.625000;27.709999;35.000000;0
3/9/2021;16:32:59;34.562500;27.709999;35.000000;0
3/9/2021;16:33:1;34.562500;27.709999;35.000000;0
3/9/2021;16:33:3;34.500000;27.709999;35.000000;1
3/9/2021;16:33:5;34.500000;27.719999;35.000000;1
3/9/2021;16:33:7;34.437500;27.719999;35.000000;2
3/9/2021;16:33:9;34.437500;27.709999;35.000000;2
3/9/2021;16:33:11;34.437500;27.709999;35.000000;2
3/9/2021;16:33:13;34.437500;27.700001;35.000000;2
3/9/2021;16:33:15;34.437500;27.700001;35.000000;3
3/9/2021;16:33:17;34.437500;27.700001;35.000000;3
3/9/2021;16:33:19;34.375000;27.700001;35.000000;3
3/9/2021;16:33:21;34.375000;27.700001;35.000000;4
3/9/2021;16:33:23;34.375000;27.700001;35.000000;4
3/9/2021;16:33:25;34.375000;27.700001;35.000000;4
3/9/2021;16:33:27;34.312500;27.700001;35.000000;4
3/9/2021;16:33:29;34.312500;27.700001;35.000000;6
3/9/2021;16:33:31;34.312500;27.709999;35.000000;6
3/9/2021;16:33:33;34.312500;27.709999;28.000000;-70
3/9/2021;16:33:35;34.312500;27.700001;28.000000;-70
3/9/2021;16:33:37;34.312500;27.700001;28.000000;-41
3/9/2021;16:33:39;34.250000;27.709999;28.000000;-41
3/9/2021;16:33:41;34.250000;27.709999;28.000000;-47
3/9/2021;16:33:43;34.187500;27.719999;28.000000;-47
3/9/2021;16:33:45;34.187500;27.719999;28.000000;-53
3/9/2021;16:33:47;34.187500;27.730000;28.000000;-53
3/9/2021;16:33:49;34.125000;27.730000;28.000000;-59
3/9/2021;16:33:51;34.125000;27.730000;28.000000;-59
3/9/2021;16:33:53;34.000000;27.730000;28.000000;-64
3/9/2021;16:33:55;34.000000;27.740000;28.000000;-64
3/9/2021;16:33:57;33.937500;27.740000;28.000000;-70
3/9/2021;16:33:59;33.937500;27.730000;28.000000;-70
3/9/2021;16:34:1;33.875000;27.730000;28.000000;-75
3/9/2021;16:34:3;33.875000;27.740000;28.000000;-75
3/9/2021;16:34:5;33.687500;27.740000;28.000000;-79
3/9/2021;16:34:7;33.687500;27.730000;28.000000;-79
3/9/2021;16:34:9;33.625000;27.730000;28.000000;-79
3/9/2021;16:34:11;33.625000;27.730000;28.000000;-85
3/9/2021;16:34:13;33.437500;27.719999;28.000000;-85
3/9/2021;16:34:15;33.437500;27.719999;28.000000;-89
3/9/2021;16:34:17;33.250000;27.709999;28.000000;-89
3/9/2021;16:34:19;33.250000;27.709999;28.000000;-93
3/9/2021;16:34:21;33.125000;27.709999;28.000000;-93
3/9/2021;16:34:23;33.125000;27.709999;28.000000;-98
3/9/2021;16:34:25;32.937500;27.700001;28.000000;-98
3/9/2021;16:34:27;32.937500;27.700001;28.000000;-100
3/9/2021;16:34:29;32.750000;27.690001;28.000000;-100
3/9/2021;16:34:31;32.750000;27.690001;28.000000;-100
3/9/2021;16:34:33;32.625000;27.670000;28.000000;-100
3/9/2021;16:34:35;32.625000;27.670000;28.000000;-100
3/9/2021;16:34:37;32.625000;27.660000;28.000000;-100
3/9/2021;16:34:39;32.375000;27.660000;28.000000;-100
3/9/2021;16:34:41;32.375000;27.639999;28.000000;-100
3/9/2021;16:34:43;32.125000;27.639999;28.000000;-100
3/9/2021;16:34:45;32.125000;27.629999;28.000000;-100
3/9/2021;16:34:47;32.062500;27.629999;28.000000;-100
3/9/2021;16:34:49;32.062500;27.629999;28.000000;-100
3/9/2021;16:34:51;31.875000;27.629999;28.000000;-100
3/9/2021;16:34:53;31.875000;27.610001;28.000000;-100
3/9/2021;16:34:55;31.687500;27.610001;28.000000;-100
3/9/2021;16:34:57;31.687500;27.610001;28.000000;-100
3/9/2021;16:34:59;31.562500;27.580000;28.000000;-100
3/9/2021;16:35:1;31.562500;27.580000;28.000000;-100
3/9/2021;16:35:3;31.375000;27.580000;28.000000;-100
3/9/2021;16:35:5;31.375000;27.580000;28.000000;-100
3/9/2021;16:35:7;31.312500;27.549999;28.000000;-100
3/9/2021;16:35:9;31.312500;27.549999;28.000000;-100
3/9/2021;16:35:11;31.125000;27.540001;28.000000;-100
3/9/2021;16:35:13;31.125000;27.540001;28.000000;-100
3/9/2021;16:35:15;31.000000;27.530001;28.000000;-100
3/9/2021;16:35:17;31.000000;27.530001;28.000000;-100
3/9/2021;16:35:19;30.875000;27.510000;28.000000;-100
3/9/2021;16:35:21;30.875000;27.510000;28.000000;-100
3/9/2021;16:35:23;30.875000;27.500000;28.000000;-100
3/9/2021;16:35:25;30.750000;27.500000;28.000000;-100
3/9/2021;16:35:27;30.750000;27.490000;28.000000;-100
3/9/2021;16:35:29;30.562500;27.490000;28.000000;-100
3/9/2021;16:35:31;30.562500;27.469999;28.000000;-100
3/9/2021;16:35:33;30.562500;27.469999;28.000000;-100
3/9/2021;16:35:35;30.562500;27.459999;28.000000;-100
3/9/2021;16:35:37;30.437500;27.459999;28.000000;-100
3/9/2021;16:35:39;30.437500;27.450001;28.000000;-100
3/9/2021;16:35:41;30.375000;27.450001;28.000000;-100
3/9/2021;16:35:43;30.375000;27.440001;28.000000;-100
3/9/2021;16:35:45;30.187500;27.440001;28.000000;-100
3/9/2021;16:35:47;30.187500;27.440001;28.000000;-100
3/9/2021;16:35:49;30.125000;27.420000;28.000000;-100
3/9/2021;16:35:51;30.125000;27.420000;28.000000;-100
3/9/2021;16:35:53;30.062500;27.410000;28.000000;-100
3/9/2021;16:35:55;30.062500;27.410000;28.000000;-100
3/9/2021;16:35:57;29.937500;27.400000;28.000000;-100
3/9/2021;16:35:59;29.937500;27.400000;28.000000;-100
3/9/2021;16:36:1;29.812500;27.389999;28.000000;-100
3/9/2021;16:36:3;29.812500;27.389999;28.000000;-100
3/9/2021;16:36:5;29.750000;27.379999;28.000000;-100
3/9/2021;16:36:7;29.750000;27.379999;28.000000;-100
3/9/2021;16:36:9;29.687500;27.370001;28.000000;-100
3/9/2021;16:36:11;29.687500;27.370001;28.000000;-100
3/9/2021;16:36:13;29.687500;27.340000;28.000000;-100
3/9/2021;16:36:15;29.562500;27.340000;28.000000;-100
3/9/2021;16:36:17;29.562500;27.340000;28.000000;-100
3/9/2021;16:36:19;29.562500;27.340000;28.000000;-100
3/9/2021;16:36:21;29.562500;27.330000;28.000000;-100
3/9/2021;16:36:23;29.437500;27.330000;28.000000;-100
3/9/2021;16:36:25;29.437500;27.320000;28.000000;-100
3/9/2021;16:36:27;29.437500;27.320000;28.000000;-100
3/9/2021;16:36:29;29.437500;27.309999;28.000000;-100
3/9/2021;16:36:31;29.312500;27.309999;28.000000;-100
3/9/2021;16:36:33;29.312500;27.309999;28.000000;-100
3/9/2021;16:36:35;29.250000;27.299999;28.000000;-100
3/9/2021;16:36:37;29.250000;27.299999;28.000000;-100
3/9/2021;16:36:39;29.187500;27.290001;28.000000;-100
3/9/2021;16:36:41;29.187500;27.290001;28.000000;-100
3/9/2021;16:36:43;29.125000;27.280001;28.000000;-100
3/9/2021;16:36:45;29.125000;27.280001;28.000000;-100
