data;hora;temperatura interna;temperatura externa;temperatura relativa;sinal de controle
1/9/2021;17:17:45;30.937500;27.080000;31.000000;-100
1/9/2021;17:17:47;30.937500;27.070000;31.000000;-100
1/9/2021;17:17:49;30.875000;27.070000;31.000000;-100
1/9/2021;17:17:51;30.875000;27.059999;31.000000;-100
1/9/2021;17:17:53;30.750000;27.059999;31.000000;-100
1/9/2021;17:17:55;30.750000;27.049999;31.000000;-100
1/9/2021;17:17:57;30.625000;27.049999;31.000000;-100
1/9/2021;17:17:59;30.625000;27.049999;31.000000;-100
1/9/2021;17:18:1;30.562500;27.049999;31.000000;-100
1/9/2021;17:18:3;30.562500;27.049999;31.000000;-100
1/9/2021;17:18:5;30.500000;27.049999;31.000000;-100
1/9/2021;17:18:7;30.500000;27.049999;31.000000;-100
1/9/2021;17:18:9;30.375000;27.030001;31.000000;-100
1/9/2021;17:18:11;30.375000;27.030001;31.000000;-100
1/9/2021;17:18:13;30.250000;27.020000;31.000000;-100
1/9/2021;17:18:15;30.250000;27.020000;31.000000;-100
1/9/2021;17:18:17;30.187500;27.020000;31.000000;-100
1/9/2021;17:18:19;30.187500;27.020000;31.000000;-100
1/9/2021;17:18:21;30.125000;27.020000;31.000000;-100
1/9/2021;17:18:23;30.125000;27.020000;31.000000;-100
1/9/2021;17:18:25;30.062500;27.010000;31.000000;-100
1/9/2021;17:18:27;30.062500;27.010000;31.000000;-100
1/9/2021;17:18:29;30.062500;27.010000;31.000000;-100
1/9/2021;17:18:31;29.937500;27.010000;76.000000;100
1/9/2021;17:18:33;29.937500;27.000000;76.000000;100
1/9/2021;17:18:35;29.875000;27.000000;76.000000;100
1/9/2021;17:18:37;29.875000;27.010000;76.000000;100
1/9/2021;17:18:39;29.937500;27.010000;76.000000;100
1/9/2021;17:18:41;29.937500;27.020000;76.000000;100
1/9/2021;17:18:43;30.250000;27.020000;76.000000;100
1/9/2021;17:18:45;30.250000;27.030001;76.000000;100
1/9/2021;17:18:47;30.500000;27.030001;76.000000;100
1/9/2021;17:18:49;30.500000;27.030001;76.000000;100
1/9/2021;17:18:51;31.125000;27.040001;76.000000;100
